drugname,pt,a,n_drug,n_reac,PRR,ROR,chi2
MAVENCLAD,Platelet Aggregation Increased,3,1847,3,999.0,999.0,306.82
VELAGLUCERASE ALFA,Osteochondral Fracture,8,12648,8,999.0,999.0,21.59
ZILUCOPLAN,Ptosis Repair,5,1881,5,999.0,999.0,138.79
ZILRETTA,Injection Site Joint Infection,6,123,6,999.0,999.0,2438.64
CELLCEPT,High Grade B-Cell Lymphoma Burkitt-Like Lymphoma,3,767,3,999.0,999.0,746.87
ACETAMINOPHEN,Hepatic Artery Thrombosis,5,7224,5,999.0,999.0,28.83
TACROLIMUS,Renal Graft Infection,3,4593,3,999.0,999.0,119.97
BRIGATINIB,Costochondral Separation,12,3937,12,999.0,999.0,20.85
NIVOLUMAB,Immune-Mediated Optic Neuritis,3,1209,3,999.0,999.0,471.74
TACROLIMUS,Phaeohyphomycotic Brain Abscess,3,4593,3,999.0,999.0,119.97
NIVOLUMAB,Immune-Mediated Gastrointestinal Disorder,3,1209,3,999.0,999.0,471.74
NIROGACESTAT,Scrotal Mass,3,590,3,999.0,999.0,972.64
FULVESTRANT,Metastases To Fallopian Tube,3,2324,3,999.0,999.0,242.67
TALVEY,Bone Marrow Harvest,3,839,3,999.0,999.0,682.29
APADAMTASE ALFA,Congenital Thrombotic Thrombocytopenic Purpura,3,102,3,999.0,999.0,5653.32
ANASTROZOLE,Apocrine Breast Carcinoma,7,2357,7,999.0,999.0,40.46
MESALAMINE,Glutamate Dehydrogenase Level Abnormal,3,948,3,999.0,999.0,603.18
ANASTROZOLE,Prosopagnosia,3,2357,3,999.0,999.0,239.2
PARAGARD T 380A,Cervix Injury,5,8088,5,999.0,999.0,24.7
METGLUCO,Diabetes Mellitus Management,3,132,3,999.0,999.0,4367.18
YERVOY,Angiopathic Neuropathy,3,1965,3,999.0,999.0,288.05
PREDNISONE,Listeria Encephalitis,3,6344,3,999.0,999.0,85.28
PARAGARD T 380A,Cervical Friability,5,8088,5,999.0,999.0,24.7
PANTOPRAZOLE,Granulocytes Maturation Arrest,5,2567,5,999.0,999.0,99.07
TACROLIMUS,Douglas' Abscess,3,4593,3,999.0,999.0,119.97
CUVRIOR,Urine Copper Increased,5,333,5,999.0,999.0,829.81
CREON,Pancreatic Stent Placement,7,3804,7,999.0,999.0,19.76
PALYNZIQ,Protein S Decreased,3,1258,3,999.0,999.0,453.14
NICOTINE,Tobacco Poisoning,3,231,3,999.0,999.0,2493.09
PALYNZIQ,Amino Acid Level Abnormal,3,1258,3,999.0,999.0,453.14
CERTOLIZUMAB PEGOL,Matrixectomy,3,7572,3,999.0,999.0,70.52
CERTOLIZUMAB PEGOL,Gestational Hyperthyroidism,3,7572,3,999.0,999.0,70.52
DAPAGLIFLOZIN,Perineal Cellulitis,3,3216,3,999.0,999.0,173.78
